"PSMessageDetails","Exception","TargetObject","CategoryInfo","FullyQualifiedErrorId","ErrorDetails","InvocationInfo","ScriptStackTrace","PipelineIterationInfo"
,"System.Management.Automation.RemoteException: note: the lint level is defined here",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:    --> searchfire\src\lib.rs:40:9",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:  40 | #![warn(missing_docs)]",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |         ^^^^^^^^^^^^",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: warning: missing documentation for a method",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:    --> searchfire\src\discovery.rs:184:2",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 184 | /     pub async fn single_query(",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 185 | |         self,",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 186 | |         types: &[DnsRecordType],",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 187 | |         fqdn: &DnsName,",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 188 | |         timeout: Duration,",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 189 | |         mut filter: impl FnMut(SocketAddr, &DnsResponse) -> bool,",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 190 | |     ) -> Result<DnsResponse, MultiIpIoError> {",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     | |____________________________________________^",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: warning: `searchfire` (lib) generated 3 warnings (run `cargo fix --lib -p searchfire` to apply 1 suggestion)",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     Checking inferno_aoip v0.5.0 (C:\Users\copilot\source\repos\inferno-windows\inferno_aoip)",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: warning: unused import: `crate::mdns_client::MdnsClient`",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:  --> inferno_aoip\src\device_server\arc_server.rs:4:5",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
